format,operation,backend,median_ms,p95_ms,images_per_sec,operations_per_sec,iterations,samples,block_size,warmup_calls,output_bytes
jpeg,decode,rust,1.3739379999999999,1.399608,727.8348804676776,727.8348804676776,100,100,1,10,
jpeg,decode,pillow,1.5988600000000002,1.64742,625.4456300113831,625.4456300113831,100,100,1,10,
jpeg,decode,opencv,1.4393035,1.467748,694.780496260865,694.780496260865,100,100,1,10,
jpeg,read,rust,1.397018,1.427419,715.8103904173031,715.8103904173031,100,100,1,10,
jpeg,read,pillow,1.621905,1.67732,616.5589229948733,616.5589229948733,100,100,1,10,
jpeg,read,opencv,1.5730339999999998,1.600089,635.7141676530832,635.7141676530832,100,100,1,10,
jpeg,encode,rust,0.815075,0.839205,1226.880961874674,1226.880961874674,100,100,1,10,308100
jpeg,encode,pillow,0.9107005,0.956636,1098.0558372373794,1098.0558372373794,100,100,1,10,308100
jpeg,encode,opencv,1.5461745,1.58364,646.7575296320047,646.7575296320047,100,100,1,10,308100
jpeg,write,rust,1.2837725,1.321747,778.9542150186268,778.9542150186268,100,100,1,10,
jpeg,write,pillow,1.459409,1.524989,685.208875647608,685.208875647608,100,100,1,10,
jpeg,write,opencv,2.2034635,2.239734,453.8309801818819,453.8309801818819,100,100,1,10,
png,decode,rust,1.3844880000000002,1.405168,722.288672780118,722.288672780118,100,100,1,10,
png,decode,pillow,2.4633000000000003,2.501025,405.9594852433727,405.9594852433727,100,100,1,10,
png,decode,opencv,2.3169494999999998,2.347053,431.6019835563961,431.6019835563961,100,100,1,10,
png,read,rust,1.3967580000000002,1.431878,715.9436351894888,715.9436351894888,100,100,1,10,
png,read,pillow,2.5206749999999998,2.549555,396.7191327719758,396.7191327719758,100,100,1,10,
png,read,opencv,2.458614,2.508965,406.7332244915225,406.7332244915225,100,100,1,10,
png,encode,rust,12.1550835,12.211393,82.27010534316774,82.27010534316774,100,100,1,10,787132
png,encode,pillow,19.27483,19.762258,51.88113202554834,51.88113202554834,100,100,1,10,788086
png,encode,opencv,15.206021,15.334622,65.76342358069873,65.76342358069873,100,100,1,10,788404
png,write,rust,12.743381,12.868687,78.47211034497046,78.47211034497046,100,100,1,10,
png,write,pillow,20.7904995,21.184901,48.09889247730676,48.09889247730676,100,100,1,10,
png,write,opencv,16.372323,16.545769,61.07868748985712,61.07868748985712,100,100,1,10,
